order_id,order_date,customer_segment,region,product_category,customer_age,quantity,unit_price,discount_pct,revenue,rating,delivery_days,shipping_cost
100921,2024-06-02 12:00:00,Corporate,North,Electronics,18.0,2.0,$107.72,0.295,151.89,,2.0,9.37
100418,2024-03-10 16:00:00,Consumer,North,Electronics,,1.0,$284.38,0.104,254.8,,1.0,9.93
100115,2024-01-20 04:00:00,Home Office,Central,Electronics,26.0,3.0,$161.60,0.328,325.79,5.0,4.0,4.74
101378,2024-08-17 16:00:00,Corporate,East,Electronics,21.0,3.0,$181.28,0.111,483.47,4.7,4.0,
100167,2024-01-28 20:00:00,Corporate,South,Furniture,29.0,1.0,$498.63,0.059,469.21,4.2,3.0,
100502,2024-03-24 16:00:00,Home Office,Central,Office Supplies,52.0,1.0,$33.82,0.083,31.01,4.5,4.0,
101056,2024-06-25 00:00:00,Home Office,East,Office Supplies,38.0,1.0,$41.55,0.09,37.81,5.0,7.0,
101013,2024-06-17 20:00:00,Home Office,West,Office Supplies,,5.0,$18.11,0.173,74.88,4.5,5.0,7.64
101652,2024-10-02 08:00:00,Consumer,South,Office Supplies,49.0,4.0,$18.30,0.052,,3.0,2.0,
100968,2024-06-10 08:00:00,Corporate,East,Electronics,60.0,1.0,$113.91,0.211,,2.3,3.0,
101535,2024-09-12 20:00:00,Consumer,West,Office Supplies,34.0,3.0,$29.10,0.089,79.53,4.5,5.0,9.05
101635,2024-09-29 12:00:00,Consumer,North,Office Supplies,67.0,1.0,$8.60,0.259,6.37,4.1,2.0,
100662,2024-04-20 08:00:00,Consumer,South,Furniture,,1.0,$310.39,0.128,270.66,4.6,5.0,32.56
100776,2024-05-09 08:00:00,Corporate,East,Furniture,37.0,5.0,$338.67,0.185,1380.08,5.0,4.0,
101595,2024-09-22 20:00:00,Corporate,Central,Office Supplies,31.0,1.0,$20.45,0.25,15.34,5.0,2.0,6.86
100111,2024-01-19 12:00:00,Consumer,East,Office Supplies,52.0,1.0,$16.19,0.17,13.44,4.2,4.0,2.6
100853,2024-05-22 04:00:00,Home Office,South,Electronics,51.0,1.0,$187.87,0.103,168.52,5.0,3.0,3.51
101605,2024-09-24 12:00:00,Consumer,North,Office Supplies,68.0,3.0,$12.24,0.055,34.7,2.8,1.0,
101927,2024-11-17 04:00:00,Corporate,West,Office Supplies,50.0,2.0,$28.95,0.084,53.04,4.6,5.0,8.09
100678,2024-04-23 00:00:00,Consumer,West,Electronics,21.0,3.0,$147.54,0.243,335.06,3.1,7.0,
100495,2024-03-23 12:00:00,Consumer,East,Furniture,73.0,5.0,$760.60,0.064,3559.61,4.6,4.0,
101137,2024-07-08 12:00:00,Consumer,North,Electronics,,4.0,$482.27,0.144,1651.29,,3.0,
100333,2024-02-25 12:00:00,Home Office,North,Furniture,34.0,4.0,$323.57,0.091,1176.5,5.0,4.0,16.0
101692,2024-10-09 00:00:00,Consumer,North,Office Supplies,50.0,4.0,$22.48,0.283,64.47,3.5,12.0,
100319,2024-02-23 04:00:00,Home Office,Central,Furniture,42.0,5.0,$823.85,0.338,2726.94,4.1,4.0,18.3
100217,2024-02-06 04:00:00,Consumer,Central,Electronics,18.0,2.0,$174.12,0.29,247.25,4.8,2.0,14.14
100836,2024-05-19 08:00:00,Corporate,East,Electronics,30.0,1.0,$136.36,0.106,121.91,4.0,3.0,11.09
101935,2024-11-18 12:00:00,Consumer,South,Office Supplies,65.0,1.0,$32.80,0.137,28.31,5.0,4.0,8.03
100208,2024-02-04 16:00:00,Consumer,North,Furniture,19.0,4.0,$174.47,0.226,540.16,4.6,4.0,22.1
101798,2024-10-26 16:00:00,Corporate,South,Office Supplies,69.0,3.0,$27.45,0.26,60.94,3.5,2.0,5.32
101981,2024-11-26 04:00:00,Consumer,East,Office Supplies,56.0,1.0,$21.83,0.067,20.37,3.6,,7.22
100431,2024-03-12 20:00:00,Corporate,West,Clothing,61.0,1.0,$96.73,0.237,73.8,4.0,6.0,9.99
100598,2024-04-09 16:00:00,Home Office,Central,Furniture,66.0,3.0,$153.47,0.031,446.14,4.6,5.0,35.04
100009,2024-01-02 12:00:00,Consumer,West,Office Supplies,39.0,1.0,$21.79,0.071,20.24,2.8,4.0,3.95
100350,2024-02-28 08:00:00,Corporate,North,Electronics,45.0,2.0,$207.37,0.373,260.04,4.5,2.0,
100754,2024-05-05 16:00:00,Corporate,Central,Clothing,33.0,4.0,$75.46,0.218,236.04,5.0,2.0,11.02
101952,2024-11-21 08:00:00,Corporate,Central,Furniture,18.0,4.0,$366.52,0.177,1206.58,2.4,4.0,23.19
100730,2024-05-01 16:00:00,Consumer,North,Furniture,18.0,5.0,$788.92,0.251,2954.51,3.7,3.0,26.99
101544,2024-09-14 08:00:00,Consumer,South,Office Supplies,68.0,5.0,N/A,0.371,43.68,4.1,4.0,9.82
100520,2024-03-27 16:00:00,Home Office,North,Electronics,45.0,1.0,$181.57,0.19,147.07,,5.0,2.95
100389,2024-03-05 20:00:00,Home Office,North,Office Supplies,31.0,1.0,$7.62,0.252,5.7,3.3,1.0,7.76
100383,2024-03-04 20:00:00,Consumer,North,Furniture,50.0,1.0,$288.27,0.117,254.54,5.0,3.0,23.85
100738,2024-05-03 00:00:00,Consumer,West,Electronics,50.0,1.0,$98.66,0.173,81.59,4.7,4.0,15.83
101739,2024-10-16 20:00:00,Corporate,East,Furniture,44.0,3.0,$364.03,0.094,989.43,3.7,4.0,20.72
100718,2024-04-29 16:00:00,Corporate,North,Office Supplies,50.0,5.0,$43.22,0.208,171.15,4.2,3.0,7.43
100002,2024-01-01 08:00:00,Home Office,Central,Clothing,70.0,1.0,$21.08,0.046,20.11,4.1,3.0,
101775,2024-10-22 20:00:00,Consumer,East,Electronics,35.0,2.0,$162.04,0.116,286.49,4.7,5.0,7.26
101200,2024-07-19 00:00:00,Corporate,West,Electronics,53.0,3.0,$363.95,0.062,1024.16,3.5,6.0,
100697,2024-04-26 04:00:00,Corporate,North,Furniture,45.0,3.0,$254.74,0.2,,4.2,2.0,
100894,2024-05-29 00:00:00,Corporate,Central,Office Supplies,33.0,3.0,$19.77,0.128,51.72,4.4,5.0,
101764,2024-10-21 00:00:00,Consumer,North,Furniture,65.0,3.0,$216.11,0.341,427.25,3.1,2.0,
101900,2024-11-12 16:00:00,Corporate,North,Office Supplies,60.0,5.0,$12.50,0.085,57.19,4.0,3.0,11.9
101037,2024-06-21 20:00:00,Consumer,North,Electronics,60.0,2.0,$111.93,0.161,187.82,4.0,3.0,
101772,2024-10-22 08:00:00,Corporate,West,Electronics,37.0,5.0,$188.15,0.158,792.11,,5.0,4.82
101629,2024-09-28 12:00:00,Consumer,North,Furniture,30.0,3.0,$511.74,0.141,1318.75,4.9,4.0,28.73
101018,2024-06-18 16:00:00,Consumer,South,Office Supplies,23.0,5.0,$31.11,0.347,101.57,5.0,4.0,3.32
100026,2024-01-05 08:00:00,Consumer,West,Office Supplies,53.0,1.0,$8.84,0.059,8.32,5.0,6.0,8.21
101096,2024-07-01 16:00:00,Consumer,North,Office Supplies,62.0,1.0,$7.16,0.191,5.79,2.6,3.0,7.32
101105,2024-07-03 04:00:00,Corporate,West,Furniture,29.0,5.0,$557.21,0.159,2343.07,5.0,3.0,23.47
100281,2024-02-16 20:00:00,Consumer,North,Furniture,68.0,1.0,$468.36,0.099,421.99,3.6,2.0,
101064,2024-06-26 08:00:00,Consumer,South,Clothing,44.0,2.0,$34.56,0.156,,3.8,2.0,5.73
100086,2024-01-15 08:00:00,Corporate,South,Office Supplies,33.0,5.0,$58.34,0.191,,4.6,5.0,6.68
101427,2024-08-25 20:00:00,Consumer,West,Office Supplies,38.0,4.0,$16.11,0.216,50.52,3.8,,5.89
101779,2024-10-23 12:00:00,Consumer,Central,Electronics,28.0,4.0,$593.60,0.464,1272.68,4.1,5.0,3.86
101420,2024-08-24 16:00:00,Corporate,West,Furniture,30.0,1.0,$181.94,0.381,112.62,2.7,6.0,29.25
